Forename,Surname,Party
"John","Baron","Conservative"
"John","Cryer","Labour"
"John","Finucane","Sinn Fein"
"John","Glen","Conservative"
"John","Hayes","Conservative"
"John","Healey","Labour"
"John","Howell","Conservative"
"John","Lamont","Conservative"
"John","McDonnell","Labour"
"John","McNally","Scottish National Party"
"John","Mercer","Conservative"
"John","Nicolson","Scottish National Party"
"John","Penrose","Conservative"
"John","Redwood","Conservative"
"John","Spellar","Labour"
"John","Twigg","Labour"
"John","Whittingdale","Conservative"

