R.Surname,R.Forename,S.Forename,R.Party,S.Party
"Ali","Rushanara","Tahir","Labour","Labour"
"Ali","Tahir","Rushanara","Labour","Labour"
"Anderson","Fleur","Lee","Labour","Conservative"
"Anderson","Fleur","Stuart","Labour","Conservative"
"Anderson","Lee","Fleur","Conservative","Labour"
"Anderson","Lee","Stuart","Conservative","Conservative"
"Anderson","Stuart","Fleur","Conservative","Labour"
"Anderson","Stuart","Lee","Conservative","Conservative"
"Bacon","Gareth","Richard","Conservative","Conservative"
"Bacon","Richard","Gareth","Conservative","Conservative"
"Baker","Duncan","Steven","Conservative","Conservative"
"Baker","Steven","Duncan","Conservative","Conservative"
"Blackman","Robert","Kirsty","Conservative","Scottish National Party"
"Blackman","Kirsty","Robert","Scottish National Party","Conservative"
"Bradley","Benjamin","Karen","Conservative","Conservative"
"Bradley","Karen","Benjamin","Conservative","Conservative"
"Brady","Michael","Graham","Sinn Fein","Conservative"
"Brady","Graham","Michael","Conservative","Sinn Fein"
"Brown","Alan","Nicholas","Scottish National Party","Independent"
"Brown","Alan","Lyn","Scottish National Party","Labour"
"Brown","Nicholas","Alan","Independent","Scottish National Party"
"Brown","Nicholas","Lyn","Independent","Labour"
"Brown","Lyn","Alan","Labour","Scottish National Party"
"Brown","Lyn","Nicholas","Labour","Independent"
"Butler","Dawn","Robert","Labour","Conservative"
"Butler","Robert","Dawn","Conservative","Labour"
"Byrne","Ian","Liam","Labour","Labour"
"Byrne","Liam","Ian","Labour","Labour"
"Campbell","Gregory","Alan","Democratic Unionist Party","Labour"
"Campbell","Alan","Gregory","Labour","Democratic Unionist Party"
"Clark","Feryal","Gregory","Labour","Conservative"
"Clark","Gregory","Feryal","Conservative","Labour"
"Clarke","Simon","Theodora","Conservative","Conservative"
"Clarke","Theodora","Simon","Conservative","Conservative"
"Cooper","Daisy","Rosemary","Liberal Democrat","Labour"
"Cooper","Daisy","Yvette","Liberal Democrat","Labour"
"Cooper","Rosemary","Daisy","Labour","Liberal Democrat"
"Cooper","Rosemary","Yvette","Labour","Labour"
"Cooper","Yvette","Daisy","Labour","Liberal Democrat"
"Cooper","Yvette","Rosemary","Labour","Labour"
"Davies","David","James","Conservative","Conservative"
"Davies","David","Gareth","Conservative","Conservative"
"Davies","David","Geraint","Conservative","Labour"
"Davies","David","Miriam","Conservative","Conservative"
"Davies","David","Philip","Conservative","Conservative"
"Davies","James","David","Conservative","Conservative"
"Davies","James","Gareth","Conservative","Conservative"
"Davies","James","Geraint","Conservative","Labour"
"Davies","James","Miriam","Conservative","Conservative"
"Davies","James","Philip","Conservative","Conservative"
"Davies","Gareth","David","Conservative","Conservative"
"Davies","Gareth","James","Conservative","Conservative"
"Davies","Gareth","Geraint","Conservative","Labour"
"Davies","Gareth","Miriam","Conservative","Conservative"
"Davies","Gareth","Philip","Conservative","Conservative"
"Davies","Geraint","David","Labour","Conservative"
"Davies","Geraint","James","Labour","Conservative"
"Davies","Geraint","Gareth","Labour","Conservative"
"Davies","Geraint","Miriam","Labour","Conservative"
"Davies","Geraint","Philip","Labour","Conservative"
"Davies","Miriam","David","Conservative","Conservative"
"Davies","Miriam","James","Conservative","Conservative"
"Davies","Miriam","Gareth","Conservative","Conservative"
"Davies","Miriam","Geraint","Conservative","Labour"
"Davies","Miriam","Philip","Conservative","Conservative"
"Davies","Philip","David","Conservative","Conservative"
"Davies","Philip","James","Conservative","Conservative"
"Davies","Philip","Gareth","Conservative","Conservative"
"Davies","Philip","Geraint","Conservative","Labour"
"Davies","Philip","Miriam","Conservative","Conservative"
"Eagle","Angela","Maria","Labour","Labour"
"Eagle","Maria","Angela","Labour","Labour"
"Eastwood","Colum","Mark","Social Democratic & Labour Party","Conservative"
"Eastwood","Mark","Colum","Conservative","Social Democratic & Labour Party"
"Edwards","David","Ruth","Independent","Conservative"
"Edwards","Ruth","David","Conservative","Independent"
"Evans","Christopher","Luke","Labour","Conservative"
"Evans","Christopher","Nigel","Labour","Conservative"
"Evans","Luke","Christopher","Conservative","Labour"
"Evans","Luke","Nigel","Conservative","Conservative"
"Evans","Nigel","Christopher","Conservative","Labour"
"Evans","Nigel","Luke","Conservative","Conservative"
"Fletcher","Colleen","Katherine","Labour","Conservative"
"Fletcher","Colleen","Mark","Labour","Conservative"
"Fletcher","Colleen","Nicholas ","Labour","Conservative"
"Fletcher","Katherine","Colleen","Conservative","Labour"
"Fletcher","Katherine","Mark","Conservative","Conservative"
"Fletcher","Katherine","Nicholas ","Conservative","Conservative"
"Fletcher","Mark","Colleen","Conservative","Labour"
