R.Surname,R.Forename,S.Forename,R.Party,S.Party
"Ali","Tahir","Rushanara","Labour","Labour"
"Ali","Rushanara","Tahir","Labour","Labour"
"Anderson","Stuart","Fleur","Conservative","Labour"
"Anderson","Lee","Fleur","Conservative","Labour"
"Anderson","Stuart","Lee","Conservative","Conservative"
"Anderson","Fleur","Lee","Labour","Conservative"
"Anderson","Lee","Stuart","Conservative","Conservative"
"Anderson","Fleur","Stuart","Labour","Conservative"
"Bacon","Richard","Gareth","Conservative","Conservative"
"Bacon","Gareth","Richard","Conservative","Conservative"
"Baker","Steven","Duncan","Conservative","Conservative"
"Baker","Duncan","Steven","Conservative","Conservative"
"Blackman","Kirsty","Robert","Scottish National Party","Conservative"
"Blackman","Robert","Kirsty","Conservative","Scottish National Party"
"Bradley","Karen","Benjamin","Conservative","Conservative"
"Bradley","Benjamin","Karen","Conservative","Conservative"
"Brady","Graham","Michael","Conservative","Sinn Fein"
"Brady","Michael","Graham","Sinn Fein","Conservative"
"Brown","Lyn","Alan","Labour","Scottish National Party"
"Brown","Nicholas","Alan","Independent","Scottish National Party"
"Brown","Lyn","Nicholas","Labour","Independent"
"Brown","Alan","Nicholas","Scottish National Party","Independent"
"Brown","Nicholas","Lyn","Independent","Labour"
"Brown","Alan","Lyn","Scottish National Party","Labour"
"Butler","Robert","Dawn","Conservative","Labour"
"Butler","Dawn","Robert","Labour","Conservative"
"Byrne","Liam","Ian","Labour","Labour"
"Byrne","Ian","Liam","Labour","Labour"
"Campbell","Alan","Gregory","Labour","Democratic Unionist Party"
"Campbell","Gregory","Alan","Democratic Unionist Party","Labour"
"Clark","Gregory","Feryal","Conservative","Labour"
"Clark","Feryal","Gregory","Labour","Conservative"
"Clarke","Theodora","Simon","Conservative","Conservative"
"Clarke","Simon","Theodora","Conservative","Conservative"
"Cooper","Yvette","Daisy","Labour","Liberal Democrat"
"Cooper","Rosemary","Daisy","Labour","Liberal Democrat"
"Cooper","Yvette","Rosemary","Labour","Labour"
"Cooper","Daisy","Rosemary","Liberal Democrat","Labour"
"Cooper","Rosemary","Yvette","Labour","Labour"
"Cooper","Daisy","Yvette","Liberal Democrat","Labour"
"Davies","Philip","David","Conservative","Conservative"
"Davies","Miriam","David","Conservative","Conservative"
"Davies","Geraint","David","Labour","Conservative"
"Davies","Gareth","David","Conservative","Conservative"
"Davies","James","David","Conservative","Conservative"
"Davies","Philip","James","Conservative","Conservative"
"Davies","Miriam","James","Conservative","Conservative"
"Davies","Geraint","James","Labour","Conservative"
"Davies","Gareth","James","Conservative","Conservative"
"Davies","David","James","Conservative","Conservative"
"Davies","Philip","Gareth","Conservative","Conservative"
"Davies","Miriam","Gareth","Conservative","Conservative"
"Davies","Geraint","Gareth","Labour","Conservative"
"Davies","James","Gareth","Conservative","Conservative"
"Davies","David","Gareth","Conservative","Conservative"
"Davies","Philip","Geraint","Conservative","Labour"
"Davies","Miriam","Geraint","Conservative","Labour"
"Davies","Gareth","Geraint","Conservative","Labour"
"Davies","James","Geraint","Conservative","Labour"
"Davies","David","Geraint","Conservative","Labour"
"Davies","Philip","Miriam","Conservative","Conservative"
"Davies","Geraint","Miriam","Labour","Conservative"
"Davies","Gareth","Miriam","Conservative","Conservative"
"Davies","James","Miriam","Conservative","Conservative"
"Davies","David","Miriam","Conservative","Conservative"
"Davies","Miriam","Philip","Conservative","Conservative"
"Davies","Geraint","Philip","Labour","Conservative"
"Davies","Gareth","Philip","Conservative","Conservative"
"Davies","James","Philip","Conservative","Conservative"
"Davies","David","Philip","Conservative","Conservative"
"Eagle","Maria","Angela","Labour","Labour"
"Eagle","Angela","Maria","Labour","Labour"
"Eastwood","Mark","Colum","Conservative","Social Democratic & Labour Party"
"Eastwood","Colum","Mark","Social Democratic & Labour Party","Conservative"
"Edwards","Ruth","David","Conservative","Independent"
"Edwards","David","Ruth","Independent","Conservative"
"Evans","Nigel","Christopher","Conservative","Labour"
"Evans","Luke","Christopher","Conservative","Labour"
"Evans","Nigel","Luke","Conservative","Conservative"
"Evans","Christopher","Luke","Labour","Conservative"
"Evans","Luke","Nigel","Conservative","Conservative"
"Evans","Christopher","Nigel","Labour","Conservative"
"Fletcher","Nicholas ","Colleen","Conservative","Labour"
"Fletcher","Mark","Colleen","Conservative","Labour"
"Fletcher","Katherine","Colleen","Conservative","Labour"
"Fletcher","Nicholas ","Katherine","Conservative","Conservative"
"Fletcher","Mark","Katherine","Conservative","Conservative"
"Fletcher","Colleen","Katherine","Labour","Conservative"
"Fletcher","Nicholas ","Mark","Conservative","Conservative"
"Fletcher","Katherine","Mark","Conservative","Conservative"
"Fletcher","Colleen","Mark","Labour","Conservative"
"Fletcher","Mark","Nicholas ","Conservative","Conservative"
"Fletcher","Katherine","Nicholas ","Conservative","Conservative"
"Fletcher","Colleen","Nicholas ","Labour","Conservative"
"Gibson","Peter","Patricia","Conservative","Scottish National Party"
"Gibson","Patricia","Peter","Scottish National Party","Conservative"
"Grant","Peter","Helen","Scottish National Party","Conservative"
"Grant","Helen","Peter","Conservative","Scottish National Party"
"Green","Sarah","Christopher","Liberal Democrat","Conservative"
"Green","Katherine","Christopher","Labour","Conservative"
"Green","Damian","Christopher","Conservative","Conservative"
"Green","Sarah","Damian","Liberal Democrat","Conservative"
"Green","Katherine","Damian","Labour","Conservative"
"Green","Christopher","Damian","Conservative","Conservative"
"Green","Sarah","Katherine","Liberal Democrat","Labour"
"Green","Damian","Katherine","Conservative","Labour"
"Green","Christopher","Katherine","Conservative","Labour"
"Green","Katherine","Sarah","Labour","Liberal Democrat"
"Green","Damian","Sarah","Conservative","Liberal Democrat"
"Green","Christopher","Sarah","Conservative","Liberal Democrat"
"Greenwood","Margaret","Lilian","Labour","Labour"
"Greenwood","Lilian","Margaret","Labour","Labour"
"Griffith","Nia","Andrew","Labour","Conservative"
"Griffith","Andrew","Nia","Conservative","Labour"
"Hamilton","Paulette","Fabian","Labour","Labour"
"Hamilton","Fabian","Paulette","Labour","Labour"
